HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:28050	CIAPIN1	cytokine induced apoptosis inhibitor 1	Approved		Anamorsin	16q21	AF248964	NM_020313
HGNC:31087	CIAPIN1P	cytokine induced apoptosis inhibitor 1 pseudogene	Approved		HsT2384	18q11.2		
HGNC:25200	CIART	circadian associated repressor of transcription	Approved	C1orf51	BC017397	1q21.2	BC047238	NM_144697
HGNC:16920	CIB1	calcium and integrin binding 1	Approved		SIP2-28, CIB, KIP	15q25.3-q26	U82226	
HGNC:24579	CIB2	calcium and integrin binding family member 2	Approved	DFNB48, USH1J	KIP2	15q24	BC047381	NM_006383
HGNC:24580	CIB3	calcium and integrin binding family member 3	Approved		KIP3	19p13.12	AB050868	NM_054113
HGNC:33703	CIB4	calcium and integrin binding family member 4	Approved			2p23.3		
HGNC:14214	CIC	capicua transcriptional repressor	Approved		KIAA0306	19q13.2	AB002304	
HGNC:23936	CICP1	capicua transcriptional repressor pseudogene 1	Approved			Yq11.223		NG_002935
HGNC:23935	CICP2	capicua transcriptional repressor pseudogene 2	Approved			Yq11.223		NG_002934
HGNC:37742	CICP3	capicua transcriptional repressor pseudogene 3	Approved			1p36.33		
HGNC:37753	CICP4	capicua transcriptional repressor pseudogene 4	Approved			20q13.33		
HGNC:37754	CICP5	capicua transcriptional repressor pseudogene 5	Approved			1q42.11		
HGNC:37755	CICP6	capicua transcriptional repressor pseudogene 6	Approved			3q29		NG_028737
HGNC:37756	CICP7	capicua transcriptional repressor pseudogene 7	Approved			1p36.33		NG_028822
HGNC:37757	CICP8	capicua transcriptional repressor pseudogene 8	Approved			7p11.2		
HGNC:37758	CICP9	capicua transcriptional repressor pseudogene 9	Approved			10p11.1		NG_025428
HGNC:37901	CICP10	capicua transcriptional repressor pseudogene 10	Approved			2q37.3		NG_021554
HGNC:37903	CICP11	capicua transcriptional repressor pseudogene 11	Approved			7p11.2		
HGNC:37905	CICP12	capicua transcriptional repressor pseudogene 12	Approved			7p11.2		NG_022557
HGNC:37907	CICP13	capicua transcriptional repressor pseudogene 13	Approved			1q41		
HGNC:38542	CICP14	capicua transcriptional repressor pseudogene 14	Approved			7q32.1		
HGNC:38549	CICP15	capicua transcriptional repressor pseudogene 15	Approved			5q35.3		
HGNC:38550	CICP16	capicua transcriptional repressor pseudogene 16	Approved			4q26		NG_022032
HGNC:48827	CICP17	capicua transcriptional repressor pseudogene 17	Approved			7p12.1		
HGNC:48828	CICP18	capicua transcriptional repressor pseudogene 18	Approved			6p25.3		
HGNC:48829	CICP19	capicua transcriptional repressor pseudogene 19	Approved			19p13.3		NG_028701
HGNC:48830	CICP20	capicua transcriptional repressor pseudogene 20	Approved			7p12.3		
HGNC:48836	CICP21	capicua transcriptional repressor pseudogene 21	Approved			1q43		
HGNC:48838	CICP22	capicua transcriptional repressor pseudogene 22	Approved			7p14.1		
HGNC:48833	CICP23	capicua transcriptional repressor pseudogene 23	Approved			11p15.5		
HGNC:48831	CICP24	capicua transcriptional repressor pseudogene 24	Approved			7q11.21		
HGNC:48837	CICP25	capicua transcriptional repressor pseudogene 25	Approved			16q24.3		
HGNC:48834	CICP26	capicua transcriptional repressor pseudogene 26	Approved			1q42.13		
HGNC:48835	CICP27	capicua transcriptional repressor pseudogene 27	Approved			1p36.33		
HGNC:48832	CICP28	capicua transcriptional repressor pseudogene 28	Approved			7p11.2		
HGNC:1976	CIDEA	cell death-inducing DFFA-like effector a	Approved		CIDE-A	18p11.21	AF041378	NM_001279
HGNC:1977	CIDEB	cell death-inducing DFFA-like effector b	Approved			14q12	AF190901	
HGNC:24229	CIDEC	cell death inducing DFFA like effector c	Approved		CIDE-3, FLJ20871, Fsp27	3p25		NM_022094
HGNC:24230	CIDECP	cell death-inducing DFFA-like effector c pseudogene	Approved		CICE	3p25.3	AF279614	
HGNC:1978	CIDX~withdrawn	symbol withdrawn, see IL2RG	Symbol Withdrawn					
HGNC:7067	CIITA	class II, major histocompatibility complex, transactivator	Approved	MHC2TA	C2TA, NLRA	16p13	U18259	NM_000246
HGNC:1979	CILD2~withdrawn	symbol withdrawn, see DNAAF3	Symbol Withdrawn					
HGNC:1980	CILP	cartilage intermediate layer protein	Approved		HsT18872	15q22	AY358904	NM_003613
HGNC:24213	CILP2	cartilage intermediate layer protein 2	Approved		MGC45771	19p13.11	AF542080	NM_153221
HGNC:23789	CINP	cyclin-dependent kinase 2 interacting protein	Approved		MGC849	14q32.33	AK056112, AF228148, AF228149	NM_032630
HGNC:20365	CIPC	CLOCK-interacting pacemaker	Approved	KIAA1737		14q24.3	AB051524	NM_033426
HGNC:1981	CIPO~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:24217	CIR1	corepressor interacting with RBPJ, 1	Approved		CIR	2q31.1	AF098297	NM_004882
HGNC:44011	CIR1P1	corepressor interacting with RBPJ, 1 pseudogene 1	Approved			5q33.2		
HGNC:44012	CIR1P2	corepressor interacting with RBPJ, 1 pseudogene 2	Approved			4q26		
HGNC:44013	CIR1P3	corepressor interacting with RBPJ, 1 pseudogene 3	Approved			11p13		
HGNC:1982	CIRBP	cold inducible RNA binding protein	Approved		CIRP	19p13.3	D78134	NM_001280
HGNC:28588	CIRBP-AS1	CIRBP antisense RNA 1	Approved	C19orf23	MGC39338	19p13.3	BC026041	NR_027271
HGNC:30880	CISD1	CDGSH iron sulfur domain 1	Approved	C10orf70, ZCD1	MDS029, mitoNEET	10q21.3	AY960578	NM_018464
HGNC:29611	CISD1P1	CDGSH iron sulfur domain 1 pseudogene 1	Approved	ZCD1B, CISD1B		2p24.1		NG_005172
HGNC:24212	CISD2	CDGSH iron sulfur domain 2	Approved	ZCD2, WFS2	Miner1, ERIS, NAF-1	4q24	BX537971	NM_001008388
HGNC:27578	CISD3	CDGSH iron sulfur domain 3	Approved		Miner2	17q12	AK097047	
HGNC:1984	CISH	cytokine inducible SH2 containing protein	Approved		CIS, G18, CIS-1, SOCS	3p21.3	Z77852	NM_145071
HGNC:49426	CISTR	chondrogenesis-associated transcript	Approved		CISTR-ACT, CISTRACT, re52431	12q13.13	DA125942, HY042141	NR_104332
HGNC:1985	CIT	citron rho-interacting serine/threonine kinase	Approved		KIAA0949, STK21, CRIK	12q24.23	AB023166	NM_007174
HGNC:1986	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	Approved	MSG1		Xq13.1	U65092	NM_004143
HGNC:1987	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	Approved		MRG1	6q23.3	U65093	
HGNC:18696	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	Approved			1p34.1	AF362074	NM_133467
HGNC:16744	CIZ1	CDKN1A interacting zinc finger protein 1	Approved		LSFR1, ZNF356	9q34.1	AB030835	NM_012127
HGNC:1988	CJD~withdrawn	symbol withdrawn, see PRNP	Symbol Withdrawn					
HGNC:1990	CKAP2	cytoskeleton associated protein 2	Approved		LB1, FLJ10749, se20-10, TMAP	13q14	AF177227	
HGNC:26877	CKAP2L	cytoskeleton associated protein 2 like	Approved		FLJ40629, radmis	2q13	AL832036	NM_152515
HGNC:49923	CKAP2P1	cytoskeleton associated protein 2 pseudogene 1	Approved			14q11.2		
HGNC:16991	CKAP4	cytoskeleton-associated protein 4	Approved		P63, CLIMP-63, ERGIC-63	12q23.3	X69910	
HGNC:28959	CKAP5	cytoskeleton associated protein 5	Approved		ch-TOG, KIAA0097, TOG, TOGp	11p11.2		NM_014756
HGNC:1991	CKB	creatine kinase B	Approved	CKBB		14q32.32		
HGNC:1992	CKBE	creatine kinase, ectopic expression	Approved			14q32		
HGNC:1993	CKBP1	creatine kinase B pseudogene 1	Approved			16q11.2	M60806	NG_001535
HGNC:13253	CKLF	chemokine-like factor	Approved	CKLF1	UCK-1, CKLF3, CKLF4, HSPC224, C32	16q22.1-q22.3	AF096895	NM_016326
HGNC:39977	CKLF-CMTM1	CKLF-CMTM1 readthrough	Approved			16q22.1		
HGNC:1994	CKM	creatine kinase, M-type	Approved	CKMM		19q13.32	M14780	
HGNC:31736	CKMT1A	creatine kinase, mitochondrial 1A	Approved	CKMT1		15q15	BC001926, BC006467	
HGNC:1995	CKMT1B	creatine kinase, mitochondrial 1B	Approved	CKMT, CKMT1	UMTCK	15q15	AK094322, J04469	NM_020990
HGNC:1996	CKMT2	creatine kinase, mitochondrial 2	Approved		SMTCK	5q14.1		NM_001825
HGNC:48997	CKMT2-AS1	CKMT2 antisense RNA 1	Approved			5q14.1		
HGNC:1997	CKN1~withdrawn	symbol withdrawn, see ERCC8	Symbol Withdrawn					
HGNC:1998	CKN2~withdrawn	symbol withdrawn, see ERCC6	Symbol Withdrawn					
HGNC:19083	CKS1B	CDC28 protein kinase regulatory subunit 1B	Approved		ckshs1, CKS1	1q21.2	BC007751	NM_001826
HGNC:20004	CKS1BP1	CDC28 protein kinase regulatory subunit 1B pseudogene 1	Approved	CKS1BP		14q32.31		NG_002475
HGNC:24232	CKS1BP2	CDC28 protein kinase regulatory subunit 1B pseudogene 2	Approved		bA192N10.2	10q11.1		NG_001578
HGNC:24233	CKS1BP3	CDC28 protein kinase regulatory subunit 1B pseudogene 3	Approved			5q12.1		NG_001579
HGNC:17395	CKS1BP4	CDC28 protein kinase regulatory subunit 1B pseudogene 4	Approved			11q14.1		
HGNC:17640	CKS1BP5	CDC28 protein kinase regulatory subunit 1B pseudogene 5	Approved			5q31.3		NG_027929
HGNC:24608	CKS1BP6	CDC28 protein kinase regulatory subunit 1B pseudogene 6	Approved			Xp21.2		
HGNC:1999	CKS1BP7	CDC28 protein kinase regulatory subunit 1B pseudogene 7	Approved	CKS1, CKS1A		8q21.13		NG_001577
HGNC:2000	CKS2	CDC28 protein kinase regulatory subunit 2	Approved			9q22	X54942	NM_001827
HGNC:2004	CLA3	cerebellar ataxia 3 (cerebellar parenchyma disorder 1)	Approved	CPD1		reserved		
HGNC:20394	CLAM	cerebellar atrophy with progressive microcephaly	Approved		PCH3	7q11-q21		
HGNC:2005	CLAPA1~withdrawn	symbol withdrawn, see AP2A1	Symbol Withdrawn					
HGNC:2006	CLAPA2~withdrawn	symbol withdrawn, see AP2A2	Symbol Withdrawn					
HGNC:2007	CLAPB1~withdrawn	symbol withdrawn, see AP2B1	Symbol Withdrawn					
HGNC:2008	CLAPB2~withdrawn	symbol withdrawn, see AP1B1	Symbol Withdrawn					
HGNC:2009	CLAPG1~withdrawn	symbol withdrawn, see AP1G1	Symbol Withdrawn					
HGNC:2010	CLAPM1~withdrawn	symbol withdrawn, see AP2M1	Symbol Withdrawn					
HGNC:2011	CLAPS1~withdrawn	symbol withdrawn, see AP1S1	Symbol Withdrawn					
HGNC:2012	CLAPS2~withdrawn	symbol withdrawn, see AP2S1	Symbol Withdrawn					
HGNC:17088	CLASP1	cytoplasmic linker associated protein 1	Approved		KIAA0622, MAST1	2q14.2-q14.3	AB014522	NM_015282
HGNC:17078	CLASP2	cytoplasmic linker associated protein 2	Approved		KIAA0627	3p24.3	AB014527	NM_001207044
HGNC:17731	CLASRP	CLK4 associating serine/arginine rich protein	Approved	SFRS16	SWAP2, CLASP	19q13.3	AF042800	NM_007056
HGNC:2014	CLC	Charcot-Leyden crystal galectin	Approved		LGALS10, MGC149659, Gal-10	19q13.1	L01664	NM_001828
HGNC:2015	CLCA1	chloride channel accessory 1	Approved		CaCC, CLCRG1	1p22.3		NM_001285
HGNC:2016	CLCA2	chloride channel accessory 2	Approved		CLCRG2	1p22.3		NM_006536
HGNC:2017	CLCA3P	chloride channel accessory 3, pseudogene	Approved	CLCA3		1p22.3	AF043976	NM_004921
HGNC:2018	CLCA4	chloride channel accessory 4	Approved		CaCC2	1p22.3	AF127035	NM_012128
HGNC:29675	CLCC1	chloride channel CLIC like 1	Approved		MCLC	1p13.3	AB018304	NM_015127
HGNC:17412	CLCF1	cardiotrophin-like cytokine factor 1	Approved		NNT1, BSF3, CLC, NR6, CISS2, BSF-3, NNT-1	11q13.3	BC012939	NM_013246
HGNC:2019	CLCN1	chloride voltage-gated channel 1	Approved		CLC1, ClC-1	7q34	Z25884	NM_000083
HGNC:2020	CLCN2	chloride voltage-gated channel 2	Approved		CLC2, EJM6, ClC-2	3q27.1	S77770	
HGNC:2021	CLCN3	chloride voltage-gated channel 3	Approved		CLC3, ClC-3	4q33	X78520	
HGNC:49775	CLCN3P1	chloride voltage-gated channel 3 pseudogene 1	Approved			9p22.3		NG_023786
HGNC:2022	CLCN4	chloride voltage-gated channel 4	Approved		CLC4, ClC-4	Xp22.3	X77197	
HGNC:2023	CLCN5	chloride voltage-gated channel 5	Approved	NPHL2, NPHL1	DENTS, XLRH, hClC-K2, hCIC-K2, CLC5, XRN, ClC-5	Xp11.23	X91906	
HGNC:2024	CLCN6	chloride voltage-gated channel 6	Approved		CLC-6, KIAA0046, ClC-6	1p36.22	X83378	NM_001286
HGNC:2025	CLCN7	chloride voltage-gated channel 7	Approved		CLC-7, OPTA2, CLC7, ClC-7, PPP1R63	16p13.3	Z67743	NM_001287
HGNC:2026	CLCNKA	chloride voltage-gated channel Ka	Approved		hClC-Ka	1p36.13		
HGNC:2027	CLCNKB	chloride voltage-gated channel Kb	Approved		hClC-Kb	1p36.13	AK098217	NM_000085
HGNC:2028	CLCNL1~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:2029	CLCNL2~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:19257	CLCP1	Charcot-Leyden crystal protein pseudogene 1	Approved			22q11.21		NG_002369
HGNC:42536	CLCP2	Charcot-Leyden crystal protein pseudogene 2	Approved		LGALS10P1	13q34	BK006815	NG_011415
HGNC:2030	CLCS~withdrawn	symbol withdrawn, see ABCB1	Symbol Withdrawn					
HGNC:2032	CLDN1	claudin 1	Approved		SEMP1, ILVASC	3q28-q29	AF101051	NM_021101
HGNC:2041	CLDN2	claudin 2	Approved			Xq22.3-q23	AK075405	
HGNC:2045	CLDN3	claudin 3	Approved	C7orf1, CPETR2	RVP1, CPE-R2, HRVP1	7q11	AF007189	NM_001306
HGNC:2046	CLDN4	claudin 4	Approved	CPETR, CPETR1	CPE-R, WBSCR8, hCPE-R	7q11.23	AB000712	NM_001305
HGNC:2047	CLDN5	claudin 5	Approved	AWAL, TMVCF	CPETRL1, BEC1	22q11.21	AF000959	NM_003277
HGNC:2048	CLDN6	claudin 6	Approved			16p13.3	AJ249735	NM_021195
HGNC:2049	CLDN7	claudin 7	Approved	CEPTRL2, CPETRL2	Hs.84359	17p13.1	AJ011497	NM_001307
HGNC:2050	CLDN8	claudin 8	Approved			21q22.1	AJ250711	NM_199328
HGNC:2051	CLDN9	claudin 9	Approved			16p13.3	AJ130941	NM_020982
HGNC:2033	CLDN10	claudin 10	Approved		OSP-L, CPETRL3	13q31-q34	U89916	NM_006984
HGNC:39907	CLDN10-AS1	CLDN10 antisense RNA 1	Approved			13q32.1		
HGNC:8514	CLDN11	claudin 11	Approved	OTM	OSP	3q26.2-q26.3	AF068863	NM_005602
HGNC:29648	CLDN11CL~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:2034	CLDN12	claudin 12	Approved			7q21	AJ250713	NM_012129
HGNC:2035	CLDN14	claudin 14	Approved	DFNB29		21q22.3	AJ132445	NM_144492
HGNC:2036	CLDN15	claudin 15	Approved			7q22	AJ245738	NM_014343
HGNC:2037	CLDN16	claudin 16	Approved		PCLN1, HOMG3	3q28	AF152101	NM_006580
HGNC:2038	CLDN17	claudin 17	Approved		MGC126552, MGC126554	21q22.1	AJ250712	NM_012131
HGNC:2039	CLDN18	claudin 18	Approved	SFTPJ		3q22.3	AF221069, AY102073	NM_001002026
HGNC:2040	CLDN19	claudin 19	Approved			1p34.2	AK096063	NM_148960
HGNC:2042	CLDN20	claudin 20	Approved			6q25	BC020838	NM_001001346
HGNC:2043	CLDN21~withdrawn	symbol withdrawn, see CLDN24	Symbol Withdrawn					
HGNC:2044	CLDN22	claudin 22	Approved		CLDN21	4q35.1	AK098064	
HGNC:17591	CLDN23	claudin 23	Approved		CLDNL	8p23.1	AK123547	NM_194284
HGNC:37200	CLDN24	claudin 24	Approved	CLDN21		4q35.1		XM_001714660
HGNC:37218	CLDN25	claudin 25	Approved			11q23.2		NM_001101389
HGNC:51259	CLDN34	claudin 34	Approved			Xp22.2		
HGNC:1322	CLDND1	claudin domain containing 1	Approved	C3orf4		3q12.1	AF116664	NM_019895
HGNC:28511	CLDND2	claudin domain containing 2	Approved		MGC33839	19q13.41	BC029518	NM_152353
HGNC:2031	CLD~withdrawn	symbol withdrawn, see SLC26A3	Symbol Withdrawn					
HGNC:24355	CLEC1A	C-type lectin domain family 1 member A	Approved		CLEC1, MGC34328	12p13.31	AY358587	NM_016511
HGNC:24356	CLEC1B	C-type lectin domain family 1 member B	Approved		CLEC2	12p13.31	AF124841	NM_016509
HGNC:24191	CLEC2A	C-type lectin domain family 2 member A	Approved		UNQ5792, INPE5792, KACL, PILAR	12p13.31	AY359126	NM_207375
HGNC:2053	CLEC2B	C-type lectin domain family 2 member B	Approved	CLECSF2	AICL, HP10085	12p13-p12	X96719	NM_005127
HGNC:14351	CLEC2D	C-type lectin domain family 2 member D	Approved		LLT1, CLAX, OCIL	12p13.31	AF133299	NM_013269
HGNC:21969	CLEC2L	C-type lectin domain family 2 member L	Approved		FLJ32986	7q34	AK057548	NM_001080511
HGNC:2052	CLEC3A	C-type lectin domain family 3 member A	Approved	CLECSF1		16q23	AF077345	NM_005752
HGNC:11891	CLEC3B	C-type lectin domain family 3 member B	Approved	TNA	TN	3p22-p21.3		NM_003278
HGNC:13257	CLEC4A	C-type lectin domain family 4 member A	Approved	CLECSF6	DCIR, DDB27, CD367	12p13	AJ133532	NM_194450
HGNC:13258	CLEC4C	C-type lectin domain family 4 member C	Approved	CLECSF11, CLECSF7	HECL, DLEC, BDCA2, CD303	12p13.2-p12.3	AF325460	NM_203503
HGNC:14554	CLEC4D	C-type lectin domain family 4 member D	Approved	CLECSF8	Mpcl, CD368	12p13.31	AF411850	NM_080387
HGNC:14555	CLEC4E	C-type lectin domain family 4 member E	Approved	CLECSF9	mincle	12p13.31	AB024718	NM_014358
HGNC:25357	CLEC4F	C-type lectin domain family 4 member F	Approved	CLECSF13	FLJ39110, KCLR	2p13.3	AK096429	NM_173535
HGNC:24591	CLEC4G	C-type lectin domain family 4 member G	Approved		UNQ431, LSECtin	19p13.2	AY358431	NM_198492
HGNC:33502	CLEC4GP1	C-type lectin domain family 4 member G pseudogene 1	Approved			19p13.2	BC047593	NR_002931
HGNC:13523	CLEC4M	C-type lectin domain family 4 member M	Approved	CD209L, CD299	HP10347, DC-SIGNR, LSIGN, DCSIGNR, DC-SIGN2	19p13	AB015629	NM_014257
HGNC:2054	CLEC5A	C-type lectin domain family 5 member A	Approved	CLECSF5	MDL-1	7q34		NM_013252
HGNC:14556	CLEC6A	C-type lectin domain family 6 member A	Approved	CLECSF10	dectin-2	12p13	AY321309	NM_001007033
HGNC:14558	CLEC7A	C-type lectin domain family 7 member A	Approved	CLECSF12	dectin-1, hDectin-1, CD369, SCARE2	12p13.2-p12.3	AY009090	NM_197954
HGNC:26705	CLEC9A	C-type lectin domain family 9 member A	Approved		UNQ9341, HEEE9341, CD370, DNGR-1	12p13.31		NM_207345
HGNC:16916	CLEC10A	C-type lectin domain family 10 member A	Approved	CLECSF13, CLECSF14	HML2, HML, CD301	17p13.2	D50532	NM_006344
HGNC:10576	CLEC11A	C-type lectin domain family 11 member A	Approved	SCGF	P47, LSLCL, CLECSF3	19q13.3	AF087658	NM_002975
HGNC:31713	CLEC12A	C-type lectin domain family 12 member A	Approved		CLL-1, MICL, CD371, DCAL-2	12p13.31	AY498550	NM_138337
HGNC:31966	CLEC12B	C-type lectin domain family 12 member B	Approved			12p13.2	AK128243	NM_205852
HGNC:19832	CLEC14A	C-type lectin domain family 14 member A	Approved	C14orf27		14q21.1		NM_175060
HGNC:29013	CLEC16A	C-type lectin domain family 16 member A	Approved	KIAA0350	Gop-1	16p13.13	AB002348	NM_015226
HGNC:34520	CLEC17A	C-type lectin domain family 17 member A	Approved		FLJ45910	19p13.12	AK127809	NM_207390
HGNC:30388	CLEC18A	C-type lectin domain family 18 member A	Approved		MRCL	16q22.1	AF428259	NM_182619
HGNC:33849	CLEC18B	C-type lectin domain family 18 member B	Approved			16q22.3	AY358373	NM_001011880
HGNC:28538	CLEC18C	C-type lectin domain family 18 member C	Approved		MGC34761	16q22.1	AL833339	NM_173619
HGNC:34522	CLEC19A	C-type lectin domain family 19 member A	Approved			16p12.3		NM_00125672
HGNC:24462	CLECL1	C-type lectin like 1	Approved		DCAL1	12p13.31	AF518873	NM_172004
HGNC:14557	CLECSF11~withdrawn	symbol withdrawn, see CLEC4C	Symbol Withdrawn					
HGNC:2056	CLG1~withdrawn	symbol withdrawn, see MMP8	Symbol Withdrawn					
HGNC:2057	CLG4A~withdrawn	symbol withdrawn, see MMP2	Symbol Withdrawn					
HGNC:2058	CLG4B~withdrawn	symbol withdrawn, see MMP9	Symbol Withdrawn					
HGNC:2059	CLGI~withdrawn	symbol withdrawn, see TIMP1	Symbol Withdrawn					
HGNC:2060	CLGN	calmegin	Approved			4q28.3-q31.1	D86322	NM_004362
HGNC:2055	CLG~withdrawn	symbol withdrawn, see MMP1	Symbol Withdrawn					
HGNC:26453	CLHC1	clathrin heavy chain linker domain containing 1	Approved	C2orf63	FLJ31438	2p16.1		NM_152385
HGNC:2062	CLIC1	chloride intracellular channel 1	Approved		NCC27, p64CLCP	6p21.3	U93205	NM_001288
HGNC:2066	CLIC1L~withdrawn	symbol withdrawn, see CLIC6	Symbol Withdrawn					
HGNC:32691	CLIC1P1	chloride intracellular channel 1 pseudogene 1	Approved			12q24.31		
HGNC:2063	CLIC2	chloride intracellular channel 2	Approved		XAP121	Xq28	AJ000217	NM_001289
HGNC:2064	CLIC3	chloride intracellular channel 3	Approved			9q34.3	AF102166	NM_004669
HGNC:13518	CLIC4	chloride intracellular channel 4	Approved		DKFZP566G223, CLIC4L, P64H1, H1, huH1, p64H1	1p	AF097330	NM_013943
HGNC:49797	CLIC4P1	chloride intracellular channel 4 pseudogene 1	Approved			9p21.3		NG_021641
HGNC:49798	CLIC4P2	chloride intracellular channel 4 pseudogene 2	Approved			19p13.3		NG_021738
HGNC:49799	CLIC4P3	chloride intracellular channel 4 pseudogene 3	Approved			Xp11.4		NG_022657
HGNC:13517	CLIC5	chloride intracellular channel 5	Approved		DFNB102	6p12.3	AF216941	
HGNC:2065	CLIC6	chloride intracellular channel 6	Approved	CLIC1L	CLIC5	21q22.12	AF426169	
HGNC:14057	CLIM1~withdrawn	symbol withdrawn, see PDLIM1	Symbol Withdrawn					
HGNC:23186	CLINT1	clathrin interactor 1	Approved		ENTH, KIAA0171, EPNR, CLINT	5q33.3	AF434813	NM_014666
HGNC:10461	CLIP1	CAP-Gly domain containing linker protein 1	Approved	RSN	CYLN1, CLIP170, CLIP, CLIP-170	12q24.3		NM_002956
HGNC:48586	CLIP1-AS1	CLIP1 antisense RNA 1	Approved			12q24.31		
HGNC:2586	CLIP2	CAP-Gly domain containing linker protein 2	Approved	WBSCR4, CYLN2, WBSCR3	CLIP-115, KIAA0291, WSCR4, CLIP, WSCR3	7q11.23	AB006629	NM_003388
HGNC:24314	CLIP3	CAP-Gly domain containing linker protein 3	Approved		CLIPR-59, RSNL1	19q13.12	AJ427922	NM_015526
HGNC:26108	CLIP4	CAP-Gly domain containing linker protein family member 4	Approved	RSNL2	FLJ21069	2p23	AK024722	NM_024692
HGNC:2061	CLI~withdrawn	symbol withdrawn, see CLU	Symbol Withdrawn					
HGNC:2068	CLK1	CDC like kinase 1	Approved			2q33	L29219	
HGNC:2069	CLK2	CDC like kinase 2	Approved		clk2	1q21	L29218	NM_003993
HGNC:2070	CLK2P1	CDC like kinase 2, pseudogene 1	Approved	CLK2P		7p15.3	BC022025	NR_002711
HGNC:2071	CLK3	CDC like kinase 3	Approved		clk3	15q24	L29220	
HGNC:49785	CLK3P1	CDC like kinase 3 pseudogene 1	Approved			9p22.1		NG_007302
HGNC:49786	CLK3P2	CDC like kinase 3 pseudogene 2	Approved			1q44		NG_007301
HGNC:13659	CLK4	CDC like kinase 4	Approved			5q35	AF294429	
HGNC:29841	CLLU1	chronic lymphocytic leukemia up-regulated 1	Approved			12q22	AJ845162	NM_001025233
HGNC:24070	CLLU1OS	chronic lymphocytic leukemia up-regulated 1 opposite strand	Approved			12q22	AJ845168	
HGNC:19972	CLMN	calmin (calponin-like, transmembrane)	Approved		FLJ12383, KIAA1188, KIAA0500	14q32.13	AB033014	
HGNC:24039	CLMP	CXADR-like membrane protein	Approved		ASAM, FLJ22415, ACAM	11q24	BC009371	NM_024769
HGNC:2072	CLM~withdrawn	symbol withdrawn, see LAMB1	Symbol Withdrawn					
HGNC:2074	CLN3	ceroid-lipofuscinosis, neuronal 3	Approved	BTS	JNCL	16p12	U32680	
HGNC:2075	CLN4~withdrawn	symbol withdrawn, see DNAJC5	Symbol Withdrawn					
HGNC:2076	CLN5	ceroid-lipofuscinosis, neuronal 5	Approved			13q22.3		NM_006493
HGNC:2077	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	Approved		FLJ20561, HsT18960, nclf	15q23	AK000568	NM_017882
HGNC:2078	CLN7~withdrawn	symbol withdrawn, see MFSD8	Symbol Withdrawn					
HGNC:2079	CLN8	ceroid-lipofuscinosis, neuronal 8	Approved	EPMR, C8orf61	FLJ39417	8p23.3	AF123761	NM_018941
HGNC:32782	CLN9	ceroid-lipofuscinosis, neuronal 9	Approved			reserved		
HGNC:17438	CLNK	cytokine dependent hematopoietic cell linker	Approved		MIST	4p16.1	AB032369	NM_052964
HGNC:2080	CLNS1A	chloride nucleotide-sensitive channel 1A	Approved	CLCI	ICln	11q14.1	U17899	NM_001293
HGNC:2081	CLNS1AP1	chloride nucleotide-sensitive channel 1A pseudogene 1	Approved	CLNS1B	ICln	6q12.1-q13		NG_002905
HGNC:2082	CLOCK	clock circadian regulator	Approved		KIAA0334, KAT13D, bHLHe8	4q12	AF011568	NM_004898
HGNC:16999	CLP1	cleavage and polyadenylation factor I subunit 1	Approved		HEAB, hClp1	11q12.1	BC000446	NM_006831
HGNC:2083	CLPA~withdrawn	symbol withdrawn, see TBX22	Symbol Withdrawn					
HGNC:30664	CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	Approved		HSP78, SKD3, FLJ13152, ANKCLB	11q13.4	BC006404	NM_030813
HGNC:2084	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Approved			19p13.3	Z50853	NM_006012
HGNC:2085	CLPS	colipase	Approved			6p21.31		NM_001832
HGNC:21251	CLPSL1	colipase like 1	Approved	C6orf127	dJ510O8.6	6p21.31		NM_001010886
HGNC:21250	CLPSL2	colipase like 2	Approved	C6orf126	dJ510O8.5, UNQ3045	6p21.31		NM_207409
HGNC:2087	CLPTM1	cleft lip and palate associated transmembrane protein 1	Approved			19q13.3	AF037339	NM_001294
HGNC:24308	CLPTM1L	CLPTM1-like	Approved		FLJ14400, CRR9	5p15.33	AK027306	NM_030782
HGNC:49023	CLPTM1LP1	CLPTM1L pseudogene 1	Approved			1q31.1		
HGNC:2088	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	Approved			15q22.31	AJ006267	NM_006660
HGNC:12605	CLRN1	clarin 1	Approved	USH3, USH3A, RP61		3q25.1	AF388366	
HGNC:30895	CLRN1-AS1	CLRN1 antisense RNA 1	Approved	CLRN1OS	UCRP	3q25.1		
HGNC:33939	CLRN2	clarin 2	Approved			4p15.32		NM_001079827
